2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-56.304,1,31682,-18.48659,18.30998,2.96688,-30.28307,-21.29239,-7.95884
2021-10-10_15-16-56.311,8,31683,-22.46714,9.22604,5.44562,68.01796,4.09423,-1.89758
2021-10-10_15-16-56.319,16,31684,-22.46333,9.24182,5.43106,68.02074,4.09956,-1.89359
2021-10-10_15-16-56.327,24,31685,-22.45908,9.25650,5.42064,68.02356,4.10385,-1.88789
2021-10-10_15-16-56.335,32,31686,-22.45469,9.27399,5.40492,68.02675,4.10961,-1.88473
2021-10-10_15-16-56.343,40,31687,-22.44921,9.29256,5.39553,68.03133,4.11251,-1.87374
2021-10-10_15-16-56.351,48,31688,-22.44355,9.31510,5.38666,68.03638,4.11579,-1.86327
2021-10-10_15-16-56.359,56,31689,-22.43708,9.33839,5.37673,68.04189,4.11890,-1.85092
2021-10-10_15-16-56.368,65,31690,-22.43006,9.36283,5.36645,68.04758,4.12233,-1.83897
2021-10-10_15-16-56.376,73,31691,-22.42233,9.38598,5.35771,68.05305,4.12599,-1.82820
2021-10-10_15-16-56.384,81,31692,-22.41400,9.40644,5.34476,68.05824,4.13039,-1.81623
2021-10-10_15-16-56.392,89,31693,-22.40590,9.43034,5.33352,68.06325,4.13537,-1.80698
2021-10-10_15-16-56.400,97,31694,-22.39723,9.45902,5.31820,68.06902,4.14184,-1.79935
2021-10-10_15-16-56.408,105,31695,-22.38700,9.48824,5.30237,68.07590,4.14812,-1.78945
2021-10-10_15-16-56.416,113,31696,-22.37518,9.52202,5.28747,68.08398,4.15295,-1.77371
2021-10-10_15-16-56.424,121,31697,-22.36304,9.55810,5.26880,68.09155,4.15987,-1.76220
2021-10-10_15-16-56.432,129,31698,-22.34971,9.58919,5.24616,68.09888,4.16583,-1.74386
2021-10-10_15-16-56.444,141,31699,-22.33569,9.63061,5.22050,68.10706,4.17330,-1.72788
2021-10-10_15-16-56.452,149,31700,-22.31945,9.66767,5.19128,68.11551,4.18120,-1.71007
2021-10-10_15-16-56.460,157,31701,-22.30300,9.71298,5.15520,68.12461,4.19039,-1.69239
2021-10-10_15-16-56.468,165,31702,-22.28578,9.75445,5.11905,68.13332,4.19744,-1.66828
2021-10-10_15-16-56.476,173,31703,-22.26636,9.80027,5.07845,68.14381,4.20465,-1.63979
2021-10-10_15-16-56.484,181,31704,-22.24352,9.84421,5.02873,68.15443,4.21405,-1.61425
2021-10-10_15-16-56.492,189,31705,-22.22114,9.91096,4.97141,68.16663,4.22731,-1.59785
2021-10-10_15-16-56.500,197,31706,-22.19721,9.97732,4.90279,68.17817,4.24039,-1.57705
2021-10-10_15-16-56.508,205,31707,-22.17135,10.05434,4.81880,68.19247,4.25421,-1.54833
2021-10-10_15-16-56.516,213,31708,-22.14382,10.13934,4.73830,68.20733,4.26890,-1.52249
2021-10-10_15-16-56.524,221,31709,-22.11346,10.26504,4.66262,68.22852,4.28378,-1.48480
2021-10-10_15-16-56.532,229,31710,-22.07571,10.38994,4.56961,68.25159,4.29963,-1.43559
2021-10-10_15-16-56.540,237,31711,-22.03438,10.54605,4.46859,68.27972,4.32032,-1.38817
2021-10-10_15-16-56.552,249,31712,-21.99044,10.71032,4.34707,68.31145,4.34548,-1.33759
2021-10-10_15-16-56.560,257,31713,-21.94508,10.88412,4.21289,68.34898,4.37185,-1.27151
2021-10-10_15-16-56.568,265,31714,-21.89569,11.09011,4.07682,68.39347,4.40483,-1.20824
2021-10-10_15-16-56.576,273,31715,-21.84416,11.33438,3.94545,68.44771,4.44144,-1.13010
2021-10-10_15-16-56.584,281,31716,-21.78829,11.56845,3.79658,68.50813,4.48520,-1.05112
2021-10-10_15-16-56.592,289,31717,-21.72981,11.76219,3.64026,68.57479,4.53319,-0.96237
2021-10-10_15-16-56.600,297,31718,-21.66774,11.97889,3.45893,68.65462,4.58868,-0.86112
2021-10-10_15-16-56.608,305,31719,-21.60517,12.18030,3.25923,68.74098,4.65003,-0.75398
2021-10-10_15-16-56.616,313,31720,-21.54319,12.39687,3.05343,68.83835,4.72065,-0.64523
2021-10-10_15-16-56.624,321,31721,-21.47740,12.61699,2.85833,68.94507,4.80442,-0.55329
2021-10-10_15-16-56.632,329,31722,-21.40885,12.83904,2.70997,69.06190,4.88467,-0.43307
2021-10-10_15-16-56.640,337,31723,-21.33154,13.00519,2.52284,69.18662,4.97357,-0.30496
2021-10-10_15-16-56.652,349,31724,-21.25169,13.16763,2.33560,69.31976,5.06150,-0.15276
2021-10-10_15-16-56.660,357,31725,-21.16491,13.33051,2.14423,69.46100,5.16353,-0.02362
2021-10-10_15-16-56.668,365,31726,-21.08255,13.51279,1.94570,69.60812,5.26208,0.13079
2021-10-10_15-16-56.676,373,31727,-21.00699,13.68722,1.72162,69.75440,5.35956,0.29400
2021-10-10_15-16-56.684,381,31728,-20.93351,13.90085,1.48998,69.90464,5.47125,0.42388
